order_id,datetime,customer_id,num_items,items,order_value,delivery_time_minutes,order_type,payment_method,day_of_week,hour,is_peak_hour,customer_rating,is_weekend,month
ORD-09276,2024-01-16 04:39:38.410594,CUST-0560,5,"Salad, Sandwich, Pizza, Beverage, Sushi Roll",69.92,43,Takeaway,Credit Card,Tuesday,4,0,4,0,1
ORD-04524,2024-01-16 04:56:29.573962,CUST-0391,2,"Beverage, Pasta",16.31,29,Takeaway,Cash,Tuesday,4,0,2,0,1
ORD-01593,2024-01-16 05:15:49.453202,CUST-0290,2,"Beverage, Pizza",18.14,14,Takeaway,Credit Card,Tuesday,5,0,3,0,1
ORD-06366,2024-01-16 05:51:29.491166,CUST-0966,3,"Noodles, Pizza, Dessert",37.41,39,Takeaway,Credit Card,Tuesday,5,0,5,0,1
ORD-06449,2024-01-16 05:51:35.890595,CUST-0967,4,"Salad, Sushi Roll, Rice Bowl, Burger",55.41,44,Takeaway,Credit Card,Tuesday,5,0,5,0,1
ORD-04476,2024-01-16 07:13:14.527988,CUST-0319,4,"Beverage, Dessert, Noodles, Sushi Roll",37.24,30,Takeaway,Credit Card,Tuesday,7,0,4,0,1
ORD-00281,2024-01-16 08:50:05.408514,CUST-0467,5,"Sandwich, Sushi Roll, Rice Bowl, Noodles, Dessert",60.13,44,Takeaway,Cash,Tuesday,8,0,2,0,1
ORD-01753,2024-01-16 09:02:41.321009,CUST-0814,5,"Noodles, Pasta, Beverage, Sandwich, Salad",54.44,40,Takeaway,Debit Card,Tuesday,9,0,3,0,1
ORD-07542,2024-01-16 09:23:08.105659,CUST-0207,3,"Pasta, Beverage, Burger",33.24,17,Takeaway,Credit Card,Tuesday,9,0,4,0,1
ORD-03915,2024-01-16 09:52:17.115029,CUST-0698,1,Pizza,13.37,41,Takeaway,Cash,Tuesday,9,0,3,0,1
ORD-03587,2024-01-16 10:41:51.832235,CUST-0734,4,"Sandwich, Pizza, Sushi Roll, Salad",60.54,10,Takeaway,Debit Card,Tuesday,10,0,4,0,1
ORD-02111,2024-01-16 11:41:29.395792,CUST-0788,4,"Noodles, Sandwich, Pizza, Rice Bowl",52.18,42,Takeaway,Debit Card,Tuesday,11,1,3,0,1
ORD-01495,2024-01-16 11:51:12.881890,CUST-0874,5,"Pizza, Burger, Salad, Rice Bowl, Dessert",73.27,16,Takeaway,Cash,Tuesday,11,1,2,0,1
ORD-09710,2024-01-16 11:56:33.930888,CUST-0232,4,"Salad, Noodles, Beverage, Burger",43.58,27,Takeaway,Debit Card,Tuesday,11,1,1,0,1
ORD-01702,2024-01-16 13:36:59.476997,CUST-0109,5,"Burger, Beverage, Pizza, Pasta, Sandwich",60.46,37,Takeaway,Credit Card,Tuesday,13,1,2,0,1
ORD-03524,2024-01-16 13:47:31.675936,CUST-0796,1,Pizza,22.86,19,Takeaway,Cash,Tuesday,13,1,4,0,1
ORD-00178,2024-01-16 16:08:48.175741,CUST-0962,1,Pizza,18.78,42,Takeaway,Debit Card,Tuesday,16,0,4,0,1
ORD-06557,2024-01-16 16:56:14.030758,CUST-0599,1,Rice Bowl,16.11,25,Takeaway,Credit Card,Tuesday,16,0,3,0,1
ORD-06346,2024-01-16 17:06:30.777000,CUST-0295,4,"Dessert, Salad, Pasta, Sandwich",45.23,24,Takeaway,Debit Card,Tuesday,17,0,3,0,1
ORD-02434,2024-01-16 17:59:25.465406,CUST-0378,3,"Noodles, Salad, Sushi Roll",37.03,24,Takeaway,Debit Card,Tuesday,17,0,5,0,1
ORD-04243,2024-01-16 18:16:41.872798,CUST-0309,2,"Salad, Sushi Roll",28.25,44,Takeaway,Cash,Tuesday,18,1,1,0,1
ORD-06739,2024-01-16 18:27:04.775495,CUST-0673,2,"Salad, Pizza",24.19,18,Takeaway,Cash,Tuesday,18,1,5,0,1
ORD-00134,2024-01-16 19:23:09.306144,CUST-0098,4,"Beverage, Dessert, Burger, Sandwich",29.68,43,Takeaway,Debit Card,Tuesday,19,1,4,0,1
ORD-06275,2024-01-16 21:14:29.150157,CUST-0758,1,Salad,11.98,16,Takeaway,Debit Card,Tuesday,21,1,4,0,1
ORD-07489,2024-01-16 21:31:37.525223,CUST-0113,3,"Noodles, Sushi Roll, Salad",41.86,30,Takeaway,Credit Card,Tuesday,21,1,5,0,1
ORD-05919,2024-01-16 22:53:06.580445,CUST-0178,5,"Rice Bowl, Burger, Pasta, Sandwich, Pizza",77.61,29,Takeaway,Credit Card,Tuesday,22,0,5,0,1
ORD-09150,2024-01-16 23:20:45.317737,CUST-0045,1,Rice Bowl,14.66,34,Takeaway,Credit Card,Tuesday,23,0,5,0,1
ORD-00250,2024-01-16 23:57:19.471659,CUST-0170,4,"Dessert, Pasta, Burger, Sandwich",42.1,11,Takeaway,Digital Wallet,Tuesday,23,0,1,0,1
ORD-03966,2024-01-17 00:13:28.914419,CUST-0557,3,"Dessert, Rice Bowl, Pasta",40.07,34,Takeaway,Credit Card,Wednesday,0,0,4,0,1
ORD-09873,2024-01-17 00:54:22.850530,CUST-0465,5,"Dessert, Noodles, Pasta, Sushi Roll, Burger",66.99,36,Takeaway,Debit Card,Wednesday,0,0,5,0,1
ORD-05695,2024-01-17 01:32:58.320087,CUST-0819,5,"Salad, Noodles, Beverage, Pizza, Dessert",48.68,32,Takeaway,Credit Card,Wednesday,1,0,5,0,1
ORD-05068,2024-01-17 02:07:48.562234,CUST-0853,4,"Pizza, Dessert, Sushi Roll, Salad",52.14,45,Takeaway,Debit Card,Wednesday,2,0,1,0,1
ORD-00369,2024-01-17 05:12:46.600087,CUST-0783,4,"Noodles, Dessert, Sandwich, Salad",42.99,18,Takeaway,Debit Card,Wednesday,5,0,5,0,1
ORD-02247,2024-01-17 06:19:26.906209,CUST-0603,5,"Sandwich, Dessert, Burger, Pizza, Salad",64.7,40,Takeaway,Debit Card,Wednesday,6,0,3,0,1
ORD-02863,2024-01-17 06:40:33.163648,CUST-0068,5,"Beverage, Pasta, Salad, Rice Bowl, Sushi Roll",60.32,36,Takeaway,Digital Wallet,Wednesday,6,0,4,0,1
ORD-04404,2024-01-17 07:39:48.026664,CUST-0181,3,"Sushi Roll, Dessert, Burger",34.89,24,Takeaway,Credit Card,Wednesday,7,0,4,0,1
ORD-07530,2024-01-17 07:50:49.573641,CUST-0792,5,"Pizza, Pasta, Sushi Roll, Beverage, Noodles",70.33,31,Takeaway,Debit Card,Wednesday,7,0,3,0,1
ORD-01041,2024-01-17 09:01:10.772386,CUST-0348,5,"Pizza, Noodles, Rice Bowl, Sandwich, Burger",69.42,12,Takeaway,Credit Card,Wednesday,9,0,3,0,1
ORD-04640,2024-01-17 09:27:45.880607,CUST-0839,1,Sushi Roll,17.05,22,Takeaway,Cash,Wednesday,9,0,3,0,1
ORD-09211,2024-01-17 10:30:19.202060,CUST-0314,5,"Pasta, Sushi Roll, Dessert, Salad, Beverage",55.49,23,Takeaway,Digital Wallet,Wednesday,10,0,4,0,1
ORD-06766,2024-01-17 14:09:39.956984,CUST-0882,1,Salad,8.07,12,Takeaway,Digital Wallet,Wednesday,14,1,5,0,1
ORD-08405,2024-01-17 14:27:49.595776,CUST-0503,2,"Pizza, Sandwich",33.14,44,Takeaway,Debit Card,Wednesday,14,1,5,0,1
ORD-04590,2024-01-17 15:01:42.069625,CUST-0169,2,"Rice Bowl, Noodles",28.25,36,Takeaway,Digital Wallet,Wednesday,15,0,4,0,1
ORD-03271,2024-01-17 16:40:07.048708,CUST-0699,1,Pasta,14.66,23,Takeaway,Debit Card,Wednesday,16,0,4,0,1
ORD-07068,2024-01-17 16:46:33.392047,CUST-0054,3,"Burger, Rice Bowl, Noodles",45.99,24,Takeaway,Cash,Wednesday,16,0,4,0,1
ORD-08379,2024-01-17 20:35:39.171244,CUST-0636,1,Beverage,4.73,31,Takeaway,Cash,Wednesday,20,1,4,0,1
ORD-05930,2024-01-17 21:14:50.925164,CUST-0185,3,"Salad, Noodles, Sushi Roll",42.61,42,Takeaway,Credit Card,Wednesday,21,1,2,0,1
ORD-03822,2024-01-17 22:47:27.505260,CUST-0679,5,"Salad, Noodles, Sushi Roll, Pizza, Pasta",83.05,22,Takeaway,Credit Card,Wednesday,22,0,5,0,1
ORD-05602,2024-01-17 22:55:57.020132,CUST-0257,3,"Beverage, Burger, Pizza",30.94,11,Takeaway,Credit Card,Wednesday,22,0,4,0,1
ORD-07056,2024-01-17 23:37:07.497105,CUST-0649,3,"Rice Bowl, Burger, Sushi Roll",41.08,43,Takeaway,Cash,Wednesday,23,0,5,0,1
ORD-02970,2024-01-18 00:14:26.619978,CUST-0339,3,"Sushi Roll, Beverage, Dessert",28.63,14,Takeaway,Digital Wallet,Thursday,0,0,2,0,1
ORD-02805,2024-01-18 01:21:38.131955,CUST-0970,5,"Pizza, Sandwich, Sushi Roll, Noodles, Dessert",71.81,37,Takeaway,Credit Card,Thursday,1,0,4,0,1
ORD-06927,2024-01-18 02:42:16.727746,CUST-0518,1,Dessert,8.3,18,Takeaway,Credit Card,Thursday,2,0,3,0,1
